SubjectID,Gender,Age,BlockType,BlockNumber,TrialNumber,Stimulus,IsTarget,Response,RT,Correct,VAS_Rating,Timestamp
003,F,24,0,1,1,S,1,LEFT,0.716170825005975,1,3,2025-11-22 17:30:05
003,F,24,0,1,2,S,1,LEFT,0.751696192019153,1,3,2025-11-22 17:30:05
003,F,24,0,1,3,D,0,RIGHT,0.52329927199753,1,3,2025-11-22 17:30:05
003,F,24,0,1,4,X,0,RIGHT,0.533335091022309,1,3,2025-11-22 17:30:05
003,F,24,0,1,5,W,0,RIGHT,0.756862003996503,1,3,2025-11-22 17:30:05
003,F,24,0,1,6,V,0,RIGHT,0.520811774011236,1,3,2025-11-22 17:30:05
003,F,24,0,1,7,S,1,LEFT,0.520730324962642,1,3,2025-11-22 17:30:05
003,F,24,0,1,8,P,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,9,B,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,10,L,0,RIGHT,0.52233465196332,1,3,2025-11-22 17:30:05
003,F,24,0,1,11,S,1,LEFT,0.54164185404079,1,3,2025-11-22 17:30:05
003,F,24,0,1,12,F,0,RIGHT,0.524037106020842,1,3,2025-11-22 17:30:05
003,F,24,0,1,13,F,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,14,L,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,15,C,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,16,P,0,RIGHT,0.521207142970525,1,3,2025-11-22 17:30:05
003,F,24,0,1,17,M,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,0,1,18,R,0,RIGHT,0.5256299310131,1,3,2025-11-22 17:30:05
003,F,24,0,1,19,R,0,RIGHT,0.522923781012651,1,3,2025-11-22 17:30:05
003,F,24,0,1,20,Q,0,,NaN,0,3,2025-11-22 17:30:05
003,F,24,1,2,1,L,0,RIGHT,0.911302677006461,1,15,2025-11-22 17:31:18
003,F,24,1,2,2,V,0,RIGHT,0.711742133018561,1,15,2025-11-22 17:31:18
003,F,24,1,2,3,S,0,RIGHT,0.78089659998659,1,15,2025-11-22 17:31:18
003,F,24,1,2,4,Z,0,RIGHT,0.522170105017722,1,15,2025-11-22 17:31:18
003,F,24,1,2,5,N,0,RIGHT,0.523799124988727,1,15,2025-11-22 17:31:18
003,F,24,1,2,6,N,1,LEFT,0.545337776013184,1,15,2025-11-22 17:31:18
003,F,24,1,2,7,N,1,LEFT,0.673831505002454,1,15,2025-11-22 17:31:18
003,F,24,1,2,8,Q,0,RIGHT,0.520596117014065,1,15,2025-11-22 17:31:18
003,F,24,1,2,9,T,0,RIGHT,0.601992135983892,1,15,2025-11-22 17:31:18
003,F,24,1,2,10,L,0,RIGHT,0.589425362995826,1,15,2025-11-22 17:31:18
003,F,24,1,2,11,C,0,RIGHT,0.521110750967637,1,15,2025-11-22 17:31:18
003,F,24,1,2,12,H,0,RIGHT,0.522915738984011,1,15,2025-11-22 17:31:18
003,F,24,1,2,13,F,0,RIGHT,0.629786878998857,1,15,2025-11-22 17:31:18
003,F,24,1,2,14,F,1,LEFT,1.05275914201047,1,15,2025-11-22 17:31:18
003,F,24,1,2,15,L,0,RIGHT,0.520757038029842,1,15,2025-11-22 17:31:18
003,F,24,1,2,16,N,0,RIGHT,0.602274156990461,1,15,2025-11-22 17:31:18
003,F,24,1,2,17,M,0,RIGHT,0.520627590012737,1,15,2025-11-22 17:31:18
003,F,24,1,2,18,W,0,RIGHT,0.652682202984579,1,15,2025-11-22 17:31:18
003,F,24,1,2,19,N,0,,NaN,0,15,2025-11-22 17:31:18
003,F,24,1,2,20,N,1,LEFT,0.574857992003672,1,15,2025-11-22 17:31:18
003,F,24,2,3,1,R,0,RIGHT,0.754268691991456,1,19,2025-11-22 17:33:44
003,F,24,2,3,2,C,0,,NaN,0,19,2025-11-22 17:33:44
003,F,24,2,3,3,R,1,LEFT,0.532364219019655,1,19,2025-11-22 17:33:44
003,F,24,2,3,4,G,0,RIGHT,0.701296506973449,1,19,2025-11-22 17:33:44
003,F,24,2,3,5,R,0,LEFT,0.851643624017015,0,19,2025-11-22 17:33:44
003,F,24,2,3,6,G,1,LEFT,0.682656973018311,1,19,2025-11-22 17:33:44
003,F,24,2,3,7,J,0,RIGHT,0.602708801045083,1,19,2025-11-22 17:33:44
003,F,24,2,3,8,T,0,RIGHT,0.783089686010499,1,19,2025-11-22 17:33:44
003,F,24,2,3,9,R,0,RIGHT,0.928849353978876,1,19,2025-11-22 17:33:44
003,F,24,2,3,10,B,0,RIGHT,0.718811854952946,1,19,2025-11-22 17:33:44
003,F,24,2,3,11,R,1,LEFT,0.53149189602118,1,19,2025-11-22 17:33:44
003,F,24,2,3,12,K,0,RIGHT,0.746488946024328,1,19,2025-11-22 17:33:44
003,F,24,2,3,13,X,0,RIGHT,0.605558246024884,1,19,2025-11-22 17:33:44
003,F,24,2,3,14,B,0,RIGHT,0.848337147035636,1,19,2025-11-22 17:33:44
003,F,24,2,3,15,X,1,LEFT,0.540820578986313,1,19,2025-11-22 17:33:44
003,F,24,2,3,16,L,0,RIGHT,0.542553142004181,1,19,2025-11-22 17:33:44
003,F,24,2,3,17,M,0,RIGHT,0.521373711992055,1,19,2025-11-22 17:33:44
003,F,24,2,3,18,T,0,RIGHT,0.751459453022107,1,19,2025-11-22 17:33:44
003,F,24,2,3,19,J,0,RIGHT,0.815405131026637,1,19,2025-11-22 17:33:44
003,F,24,2,3,20,T,0,LEFT,0.521058003010694,0,19,2025-11-22 17:33:44
