SubjectID,Gender,Age,BlockType,BlockNumber,TrialNumber,Stimulus,IsTarget,Response,RT,Correct,VAS_Baseline,VAS_PostBlock,Timestamp
004,F,24,0,1,1,P,0,RIGHT,0.686234152992256,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,2,H,0,RIGHT,0.846943304990418,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,3,B,0,RIGHT,0.731517565029208,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,4,T,0,RIGHT,0.683447279967368,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,5,G,0,RIGHT,0.442313167033717,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,6,L,0,RIGHT,0.418885049002711,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,7,R,0,RIGHT,0.373868437018245,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,8,D,1,LEFT,0.501520335034002,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,9,S,0,RIGHT,0.3747129580006,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,10,K,0,RIGHT,0.566106616985053,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,11,R,0,RIGHT,0.374585559009574,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,12,S,0,RIGHT,0.369930145971011,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,13,L,0,RIGHT,0.376617292000446,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,14,B,0,RIGHT,0.475943336030468,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,15,J,0,RIGHT,0.428927519998979,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,16,D,1,LEFT,0.529203981976025,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,17,D,1,LEFT,0.568878624006175,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,18,D,1,LEFT,0.451730804983526,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,19,V,0,RIGHT,0.52185634302441,1,10,20,2025-11-22 17:58:18
004,F,24,0,1,20,L,0,RIGHT,0.410398732987233,1,10,20,2025-11-22 17:58:18
004,F,24,1,2,1,K,0,RIGHT,1.10235604300397,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,2,G,0,RIGHT,0.781505303981248,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,3,G,1,LEFT,0.566715761029627,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,4,G,1,LEFT,0.536330281000119,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,5,J,0,RIGHT,0.475863820000086,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,6,R,0,RIGHT,0.531440796970855,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,7,L,0,RIGHT,0.711601947026793,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,8,L,1,LEFT,0.529291782993823,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,9,T,0,RIGHT,0.436416220967658,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,10,F,0,RIGHT,0.755897352006286,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,11,W,0,RIGHT,0.629279436019715,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,12,W,1,LEFT,0.604111180990003,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,13,N,0,RIGHT,0.46170202200301,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,14,W,0,LEFT,0.937942657968961,0,10,25,2025-11-22 17:59:35
004,F,24,1,2,15,P,0,RIGHT,0.49089835898485,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,16,F,0,RIGHT,0.571504607039969,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,17,F,0,LEFT,0.798947487957776,0,10,25,2025-11-22 17:59:35
004,F,24,1,2,18,L,0,RIGHT,0.531775017967448,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,19,S,0,RIGHT,0.587425519013777,1,10,25,2025-11-22 17:59:35
004,F,24,1,2,20,V,0,RIGHT,0.463552928995341,1,10,25,2025-11-22 17:59:35
004,F,24,2,3,1,R,0,RIGHT,0.996132532018237,1,10,34,2025-11-22 18:00:46
004,F,24,2,3,2,M,0,RIGHT,0.812198422965594,1,10,34,2025-11-22 18:00:46
