Timestamp,MarkerCode,Description
2025-11-26 01:47:40.348,120,Stimulus: 2-back non-target
2025-11-26 01:47:41.201,211,Response: RIGHT correct
2025-11-26 01:47:43.365,121,Stimulus: 2-back target
2025-11-26 01:47:45.064,201,Response: LEFT correct
2025-11-26 01:47:46.382,121,Stimulus: 2-back target
2025-11-26 01:47:47.881,201,Response: LEFT correct
2025-11-26 01:47:49.398,120,Stimulus: 2-back non-target
2025-11-26 01:47:50.799,211,Response: RIGHT correct
2025-11-26 01:47:52.415,120,Stimulus: 2-back non-target
2025-11-26 01:47:53.930,211,Response: RIGHT correct
2025-11-26 01:47:55.432,120,Stimulus: 2-back non-target
2025-11-26 01:47:56.785,211,Response: RIGHT correct
2025-11-26 01:47:58.448,120,Stimulus: 2-back non-target
2025-11-26 01:47:59.566,211,Response: RIGHT correct
2025-11-26 01:48:01.465,120,Stimulus: 2-back non-target
2025-11-26 01:48:02.326,211,Response: RIGHT correct
2025-11-26 01:48:04.481,120,Stimulus: 2-back non-target
2025-11-26 01:48:05.292,211,Response: RIGHT correct
2025-11-26 01:48:07.498,120,Stimulus: 2-back non-target
2025-11-26 01:48:08.157,211,Response: RIGHT correct
2025-11-26 01:48:10.515,121,Stimulus: 2-back target
2025-11-26 01:48:11.439,210,Response: RIGHT incorrect
2025-11-26 01:48:16.097,42,VAS Start: Post-block 2-back
2025-11-26 01:48:17.385,52,VAS Submit: Post-block 2-back
2025-11-26 01:48:17.900,22,Block End: 2-back
2025-11-26 01:48:17.948,255,Experiment End
